Number of primes 300
Starting place 255
node 0, value 3, smaller -1, larger -1
node 1, value 5, smaller 0, larger 2
node 2, value 7, smaller -1, larger -1
node 3, value 11, smaller 1, larger 5
node 4, value 13, smaller -1, larger -1
node 5, value 17, smaller 4, larger 6
node 6, value 19, smaller -1, larger -1
node 7, value 23, smaller 3, larger 11
node 8, value 29, smaller -1, larger -1
node 9, value 31, smaller 8, larger 10
node 10, value 37, smaller -1, larger -1
node 11, value 41, smaller 9, larger 13
node 12, value 43, smaller -1, larger -1
node 13, value 47, smaller 12, larger 14
node 14, value 53, smaller -1, larger -1
node 15, value 59, smaller 7, larger 23
node 16, value 61, smaller -1, larger -1
node 17, value 67, smaller 16, larger 18
node 18, value 71, smaller -1, larger -1
node 19, value 73, smaller 17, larger 21
node 20, value 79, smaller -1, larger -1
node 21, value 83, smaller 20, larger 22
node 22, value 89, smaller -1, larger -1
node 23, value 97, smaller 19, larger 27
node 24, value 101, smaller -1, larger -1
node 25, value 103, smaller 24, larger 26
node 26, value 107, smaller -1, larger -1
node 27, value 109, smaller 25, larger 29
node 28, value 113, smaller -1, larger -1
node 29, value 127, smaller 28, larger 30
node 30, value 131, smaller -1, larger -1
node 31, value 137, smaller 15, larger 47
node 32, value 139, smaller -1, larger -1
node 33, value 149, smaller 32, larger 34
node 34, value 151, smaller -1, larger -1
node 35, value 157, smaller 33, larger 37
node 36, value 163, smaller -1, larger -1
node 37, value 167, smaller 36, larger 38
node 38, value 173, smaller -1, larger -1
node 39, value 179, smaller 35, larger 43
node 40, value 181, smaller -1, larger -1
node 41, value 191, smaller 40, larger 42
node 42, value 193, smaller -1, larger -1
node 43, value 197, smaller 41, larger 45
node 44, value 199, smaller -1, larger -1
node 45, value 211, smaller 44, larger 46
node 46, value 223, smaller -1, larger -1
node 47, value 227, smaller 39, larger 55
node 48, value 229, smaller -1, larger -1
node 49, value 233, smaller 48, larger 50
node 50, value 239, smaller -1, larger -1
node 51, value 241, smaller 49, larger 53
node 52, value 251, smaller -1, larger -1
node 53, value 257, smaller 52, larger 54
node 54, value 263, smaller -1, larger -1
node 55, value 269, smaller 51, larger 59
node 56, value 271, smaller -1, larger -1
node 57, value 277, smaller 56, larger 58
node 58, value 281, smaller -1, larger -1
node 59, value 283, smaller 57, larger 61
node 60, value 293, smaller -1, larger -1
node 61, value 307, smaller 60, larger 62
node 62, value 311, smaller -1, larger -1
node 63, value 313, smaller 31, larger 95
node 64, value 317, smaller -1, larger -1
node 65, value 331, smaller 64, larger 66
node 66, value 337, smaller -1, larger -1
node 67, value 347, smaller 65, larger 69
node 68, value 349, smaller -1, larger -1
node 69, value 353, smaller 68, larger 70
node 70, value 359, smaller -1, larger -1
node 71, value 367, smaller 67, larger 75
node 72, value 373, smaller -1, larger -1
node 73, value 379, smaller 72, larger 74
node 74, value 383, smaller -1, larger -1
node 75, value 389, smaller 73, larger 77
node 76, value 397, smaller -1, larger -1
node 77, value 401, smaller 76, larger 78
node 78, value 409, smaller -1, larger -1
node 79, value 419, smaller 71, larger 87
node 80, value 421, smaller -1, larger -1
node 81, value 431, smaller 80, larger 82
node 82, value 433, smaller -1, larger -1
node 83, value 439, smaller 81, larger 85
node 84, value 443, smaller -1, larger -1
node 85, value 449, smaller 84, larger 86
node 86, value 457, smaller -1, larger -1
node 87, value 461, smaller 83, larger 91
node 88, value 463, smaller -1, larger -1
node 89, value 467, smaller 88, larger 90
node 90, value 479, smaller -1, larger -1
node 91, value 487, smaller 89, larger 93
node 92, value 491, smaller -1, larger -1
node 93, value 499, smaller 92, larger 94
node 94, value 503, smaller -1, larger -1
node 95, value 509, smaller 79, larger 111
node 96, value 521, smaller -1, larger -1
