number 0, val1 42021, val2 41c67ea6, f1 0.000063, f2 0.513870
number 1048576, val1 cbb076ae, val2 1a767ea6, f1 0.795661, f2 0.206741
number 2097152, val1 75e08f7a, val2 73267ea6, f1 0.460458, f2 0.899612
number 3145728, val1 ccfdf188, val2 4bd67ea6, f1 0.800750, f2 0.592483
number 4194304, val1 8961556f, val2 24867ea6, f1 0.536641, f2 0.285354
number 5242880, val1 9e567681, val2 7d367ea6, f1 0.618507, f2 0.978226
number 6291456, val1 ec139510, val2 55e67ea6, f1 0.922174, f2 0.671097
number 7340032, val1 99559604, val2 2e967ea6, f1 0.598962, f2 0.363968
number 8388608, val1 f458ebf0, val2 7467ea6, f1 0.954482, f2 0.056839
number 9437184, val1 82a30e29, val2 5ff67ea6, f1 0.510301, f2 0.749710
10000000 7854546, 3.141818
